2025 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-26T21:46:29 Cycle:643666ce-5653-45dc-8df3-aca02937ad20 Created:2025-05-26T21:45:20 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,Group,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
WA,G,42000,2,"NICOL, Gary",Libertarian,45,6,0,3,3,57
WA,G,0,9998,Unapportioned,Libertarian,130,0,0,0,0,130
WA,H,42212,0,H Above-the-line Votes,Gerard Rennick People First,16538,1118,50,903,2266,20875
WA,H,40668,1,"KING, Madison",Gerard Rennick People First,2025,133,0,127,282,2567
WA,H,40670,2,"CLUNE, Jody",Gerard Rennick People First,87,8,0,4,17,116
WA,H,0,9998,Unapportioned,Gerard Rennick People First,465,0,0,0,0,465
WA,I,42223,0,I Above-the-line Votes,The Greens (WA),152692,12599,339,8845,17408,191883
WA,I,42001,1,"STEELE-JOHN, Jordon",The Greens (WA) Inc,8086,572,30,559,1179,10426
WA,I,42002,2,"COLLINS, Simone",The Greens (WA) Inc,891,89,7,75,167,1229
WA,I,42003,3,"CLARKE, Donald",The Greens (WA) Inc,111,15,0,12,22,160
WA,I,42004,4,"IVES, Verity",The Greens (WA) Inc,396,31,1,25,79,532
WA,I,42005,5,"LONSDALE, Heather",The Greens (WA) Inc,648,58,0,52,140,898
WA,I,0,9998,Unapportioned,The Greens (WA),3221,0,0,0,0,3221
WA,J,42225,0,J Above-the-line Votes,FUSION,2362,188,6,149,451,3156
WA,J,42106,1,"CARRIE-WILSON, Tian",FUSION | Planet Rescue | Whistleblower Protection | Innovation,236,10,0,12,43,301
WA,J,42107,2,"ALDERDICE, Tamara",FUSION | Planet Rescue | Whistleblower Protection | Innovation,72,7,0,2,23,104
WA,J,0,9998,Unapportioned,FUSION,49,0,0,0,0,49
WA,K,42213,0,K Above-the-line Votes,Socialist Alliance,2766,195,13,157,333,3464
WA,K,41228,1,"SOBIERALSKI, Jade",Socialist Alliance,315,17,2,14,48,396
WA,K,41230,2,"BREEN, Riley",Socialist Alliance,60,5,0,3,12,80
WA,K,0,9998,Unapportioned,Socialist Alliance,36,0,0,0,0,36
WA,L,42216,0,L Above-the-line Votes,Australian Labor Party,451734,20931,698,20514,67935,561812
WA,L,40916,1,"WHITEAKER, Ellie",Australian Labor Party,7804,482,19,429,1645,10379
WA,L,40917,2,"GHOSH, Varun",Australian Labor Party,605,35,5,36,110,791
WA,L,40921,3,"SINGH, Deep",Australian Labor Party,787,57,2,23,83,952
WA,L,40924,4,"DEWAN, Tarun",Australian Labor Party,298,30,1,12,48,389
WA,L,40928,5,"WHITE, Ally",Australian Labor Party,874,69,2,41,197,1183
WA,L,40932,6,"OSWALD, Brock",Australian Labor Party,481,35,0,30,105,651
WA,L,0,9998,Unapportioned,Australian Labor Party,10402,0,0,0,0,10402
WA,M,42220,0,M Above-the-line Votes,One Nation,69162,4696,127,4173,10859,89017
WA,M,42022,1,"WHITTEN, Tyron",Pauline Hanson's One Nation,2711,198,6,159,480,3554
